id,YEAR,STATES,LAT,LONG,POPULATION,AREA(KM2),DENSITY,TOTAL PC,TOTAL VC,TOTAL CRIME,UNEMPLOYMENT
38,1982,Sabah,5.420404,116.796783,1186400,73631,16.11277859,2215,304,2519,3.0
39,1983,Johor,1.4854,103.366585,1780300,19166,92.88844829,6666,766,7432,4.2
40,1983,Kedah,6.1184,100.3685,1184000,9500,124.63157890000001,4367,337,4704,3.8
41,1983,Kelantan,6.125397,102.238068,974800,17100,57.00584795,1550,109,1659,6.2
42,1983,Melaka,2.1944,102.2491,484700,1664,291.2860577,1885,182,2067,2.8
43,1983,Negeri sembilan,2.7258,101.9424,611400,6686,91.44481005,3019,393,3412,3.8
44,1983,Pahang,3.8126,103.3256,864600,35965,24.04003893,2967,304,3271,2.7
45,1983,Penang,5.4164,100.3327,1006000,1048,959.9236641000001,6416,1243,7659,3.8
46,1983,Perak,4.5921,101.0901,1891100,20976,90.15541571,8498,908,9406,5.1
47,1983,Perlis,6.443589,100.216599,158400,819,193.40659340000002,0,0,0,3.2
48,1983,Selangor,3.0738,101.524803,1743700,8104,215.16535040000002,8118,1096,9214,2.3
49,1983,Terengganu,5.3117,103.1324,603100,13035,46.2677407,1452,127,1579,2.5
50,1983,Sarawak,1.5533,110.3592,1440700,124450,11.57653676,4133,201,4334,5.2
51,1983,Sabah,5.420404,116.796783,1255100,73631,17.04580951,3426,384,3810,4.1
52,1984,Johor,1.4854,103.366585,1825900,19166,95.26766148,6864,791,7655,4.5
53,1984,Kedah,6.1184,100.3685,1206000,9500,126.94736840000002,4165,341,4506,5.6
54,1984,Kelantan,6.125397,102.238068,1002500,17100,58.62573099,1756,147,1903,5.5
55,1984,Melaka,2.1944,102.2491,491100,1664,295.13221150000004,1723,170,1893,5.4
56,1984,Negeri sembilan,2.7258,101.9424,623900,6686,93.31438827,2796,334,3130,4.9
57,1984,Pahang,3.8126,103.3256,888600,35965,24.70735437,2835,283,3118,4.6
58,1984,Penang,5.4164,100.3327,1020900,1048,974.1412214,7321,1336,8657,3.6
59,1984,Perak,4.5921,101.0901,1912400,20976,91.17086194,8769,845,9614,5.4
60,1984,Perlis,6.443589,100.216599,161700,819,197.43589740000002,0,0,0,4.6
61,1984,Selangor,3.0738,101.524803,1822000,8104,224.82724580000001,8303,1259,9562,4.0
62,1984,Terengganu,5.3117,103.1324,625700,13035,48.00153433,1484,100,1584,6.8
63,1984,Sarawak,1.5533,110.3592,1471500,124450,11.82402571,4252,208,4460,6.7
64,1984,Sabah,5.420404,116.796783,1325600,73631,18.00328666,4275,507,4782,6.0
65,1985,Johor,1.4854,103.366585,1875500,19166,97.85557759,8453,1166,9619,5.3
66,1985,Kedah,6.1184,100.3685,1231000,9500,129.5789474,4177,359,4536,7.1
67,1985,Kelantan,6.125397,102.238068,1032600,17100,60.38596491,1754,187,1941,6.0
68,1985,Melaka,2.1944,102.2491,498600,1664,299.6394231,1930,185,2115,5.5
69,1985,Negeri sembilan,2.7258,101.9424,638400,6686,95.48309901,3254,470,3724,4.7
70,1985,Pahang,3.8126,103.3256,915000,35965,25.44140136,3324,386,3710,4.3
71,1985,Penang,5.4164,100.3327,1038100,1048,990.5534351,9914,2223,12137,5.0
72,1985,Perak,4.5921,101.0901,1931400,20976,92.07665904,8915,1095,10010,6.1
73,1985,Perlis,6.443589,100.216599,165800,819,202.4420024,0,0,0,7.6
74,1985,Selangor,3.0738,101.524803,1906100,8104,235.2048371,9881,1491,11372,4.7
75,1985,Terengganu,5.3117,103.1324,651800,13035,50.00383583,1427,104,1531,7.2
76,1985,Sarawak,1.5533,110.3592,1503800,124450,12.0835677,4291,198,4489,7.1
77,1985,Sabah,5.420404,116.796783,1398700,73631,18.99607502,3753,506,4259,6.4
78,1986,Johor,1.4854,103.366585,1926400,19166,100.51132209999999,8842,1299,10141,6.8
79,1986,Kedah,6.1184,100.3685,1256200,9500,132.23157890000002,4505,379,4884,8.1
80,1986,Kelantan,6.125397,102.238068,1062800,17100,62.15204678,2232,214,2446,6.8
81,1986,Melaka,2.1944,102.2491,505700,1664,303.90625,2129,226,2355,9.5
82,1986,Negeri sembilan,2.7258,101.9424,653900,6686,97.80137601,3734,523,4257,7.0
83,1986,Pahang,3.8126,103.3256,943600,35965,26.23661894,3434,397,3831,4.9
84,1986,Penang,5.4164,100.3327,1054800,1048,1006.48855,9977,1976,11953,8.4
85,1986,Perak,4.5921,101.0901,1950800,20976,93.00152555,9976,1144,11120,8.7
86,1986,Perlis,6.443589,100.216599,170200,819,207.81440780000003,0,0,0,8.0
87,1986,Selangor,3.0738,101.524803,1992400,8104,245.85389930000002,10300,1906,12206,5.7
88,1986,Terengganu,5.3117,103.1324,678300,13035,52.03682394,1842,151,1993,9.5
89,1986,Sarawak,1.5533,110.3592,1539500,124450,12.37042989,4251,224,4475,9.0
90,1986,Sabah,5.420404,116.796783,1474300,73631,20.02281648,3889,559,4448,8.2
91,1987,Johor,1.4854,103.366585,1977900,19166,103.19837209999999,8940,1394,10334,6.3
92,1987,Kedah,6.1184,100.3685,1281100,9500,134.8526316,3616,345,3961,8.0
93,1987,Kelantan,6.125397,102.238068,1093000,17100,63.91812865,1675,136,1811,6.5
94,1987,Melaka,2.1944,102.2491,513100,1664,308.3533654,2291,252,2543,8.0
95,1987,Negeri sembilan,2.7258,101.9424,668800,6686,100.02991329999999,3555,424,3979,7.6
96,1987,Pahang,3.8126,103.3256,971000,35965,26.99847074,3200,303,3503,5.1
97,1987,Penang,5.4164,100.3327,1070500,1048,1021.469466,8148,1625,9773,6.5
98,1987,Perak,4.5921,101.0901,1967500,20976,93.79767353,8190,1082,9272,8.0
99,1987,Perlis,6.443589,100.216599,174600,819,213.1868132,643,43,686,6.6
100,1987,Selangor,3.0738,101.524803,2079800,8104,256.6386969,10920,1773,12693,5.6
101,1987,Terengganu,5.3117,103.1324,704300,13035,54.03145378,774,88,862,11.7
102,1987,Sarawak,1.5533,110.3592,1576300,124450,12.66613098,4303,224,4527,9.8
103,1987,Sabah,5.420404,116.796783,1550900,73631,21.06313917,4049,634,4683,9.0
104,1988,Johor,1.4854,103.366585,2031000,19166,105.96890330000001,9229,1517,10746,5.4
105,1988,Kedah,6.1184,100.3685,1305300,9500,137.4,3134,290,3424,7.4
106,1988,Kelantan,6.125397,102.238068,1123900,17100,65.72514620000001,1163,123,1286,7.7
107,1988,Melaka,2.1944,102.2491,520600,1664,312.8605769,2088,235,2323,8.1
108,1988,Negeri sembilan,2.7258,101.9424,683000,6686,102.1537541,3341,402,3743,6.0
109,1988,Pahang,3.8126,103.3256,998400,35965,27.76032254,2382,288,2670,6.2
110,1988,Penang,5.4164,100.3327,1086700,1048,1036.927481,8060,1525,9585,6.7
111,1988,Perak,4.5921,101.0901,1979300,20976,94.36022121,7453,1061,8514,8.1
112,1988,Perlis,6.443589,100.216599,178700,819,218.1929182,748,40,788,7.6
113,1988,Selangor,3.0738,101.524803,2167000,8104,267.3988154,9782,1684,11466,5.9
114,1988,Terengganu,5.3117,103.1324,731000,13035,56.07978519,593,80,673,9.4
115,1988,Sarawak,1.5533,110.3592,1614600,124450,12.97388509,4868,198,5066,10.3
116,1988,Sabah,5.420404,116.796783,1629700,73631,22.13334058,3479,614,4093,8.2
117,1989,Johor,1.4854,103.366585,2085300,19166,108.8020453,7118,1245,8363,4.6
118,1989,Kedah,6.1184,100.3685,1328700,9500,139.8631579,2800,229,3029,5.7
119,1989,Kelantan,6.125397,102.238068,1154600,17100,67.52046784,1196,133,1329,6.3
120,1989,Melaka,2.1944,102.2491,527400,1664,316.9471154,1815,210,2025,6.0
121,1989,Negeri sembilan,2.7258,101.9424,698300,6686,104.4421179,2865,366,3231,4.9
122,1989,Pahang,3.8126,103.3256,1025900,35965,28.52495482,2142,325,2467,3.7
123,1989,Penang,5.4164,100.3327,1103200,1048,1052.671756,6604,1153,7757,3.9
124,1989,Perak,4.5921,101.0901,1987800,20976,94.76544622,6540,950,7490,5.5
125,1989,Perlis,6.443589,100.216599,182700,819,223.07692310000002,612,46,658,6.4
126,1989,Selangor,3.0738,101.524803,2254900,8104,278.245311,8391,1511,9902,3.9
127,1989,Terengganu,5.3117,103.1324,757200,13035,58.08975834,536,87,623,12.3
128,1989,Sarawak,1.5533,110.3592,1652500,124450,13.27842507,4199,202,4401,9.6
129,1989,Sabah,5.420404,116.796783,1709000,73631,23.2103326,2406,483,2889,7.4
130,1990,Johor,1.4854,103.366585,2139400,19166,111.62475220000002,7079,1123,8202,3.7
131,1990,Kedah,6.1184,100.3685,1352300,9500,142.34736840000002,2736,268,3004,4.4
132,1990,Kelantan,6.125397,102.238068,1187100,17100,69.42105263,1111,157,1268,3.4
133,1990,Melaka,2.1944,102.2491,534200,1664,321.0336538,1606,201,1807,4.2
